target_id	gene_id	gene_symbol	RFP3D11	RFP3D39	RFP3D47	RFPNG14	RFPNG35	RFPNG45	RFPRPM4	RFPRPM41	RFPRPM6	protein
lcl|NC_010612.1_cds_WP_012392009.1_1	MMAR_RS00010	dnaA	41.00	13.00	8.00	12.00	5.00	6.00	21.00	21.00	26.00	chromosomal replication initiator protein DnaA
lcl|NC_010612.1_cds_WP_012392010.1_2	MMAR_RS00015	dnaN	7.00	11.00	11.00	7.00	7.00	2.00	17.00	17.00	11.00	DNA polymerase III subunit beta
lcl|NC_010612.1_cds_WP_012392011.1_3	MMAR_RS00020	recF	5.00	3.00	0.00	2.00	0.00	0.00	1.00	1.00	5.00	DNA replication/repair protein RecF
lcl|NC_010612.1_cds_WP_012392012.1_4	MMAR_RS00025	MMAR_RS00025	2.00	2.00	2.00	0.00	3.00	1.00	1.00	1.00	3.00	DUF721 family protein
lcl|NC_010612.1_cds_WP_020727522.1_5	MMAR_RS00030	gyrB	25.00	26.00	30.00	26.00	29.00	21.00	33.00	33.00	17.00	DNA topoisomerase (ATP-hydrolyzing) subunit B
lcl|NC_010612.1_cds_WP_012392014.1_6	MMAR_RS00035	gyrA	5.00	7.00	16.00	4.00	19.00	6.00	19.00	19.00	8.00	DNA gyrase subunit A
lcl|NC_010612.1_cds_WP_012392015.1_7	MMAR_RS00040	MMAR_RS00040	1.00	3.00	4.00	1.00	2.00	1.00	2.00	2.00	1.00	DUF3566 domain-containing protein
lcl|NC_010612.1_cds_WP_237708380.1_8	MMAR_RS00055	MMAR_RS00055	0.00	2.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	SAM-dependent methyltransferase
lcl|NC_010612.1_cds_WP_012392017.1_9	MMAR_RS00060	MMAR_RS00060	0.00	1.00	1.00	1.00	0.00	0.00	1.00	1.00	0.00	MerR family transcriptional regulator
lcl|NC_010612.1_cds_WP_012392018.1_10	MMAR_RS00065	cwsA	0.00	1.00	1.00	0.00	1.00	0.00	1.00	1.00	0.00	cell wall synthesis protein CwsA
lcl|NC_010612.1_cds_WP_012392019.1_11	MMAR_RS00070	MMAR_RS00070	5.00	11.00	9.00	5.00	8.00	2.00	10.00	10.00	11.00	peptidylprolyl isomerase
lcl|NC_010612.1_cds_WP_012392020.1_12	MMAR_RS00075	MMAR_RS00075	1.00	1.00	1.00	3.00	5.00	0.00	0.00	0.00	2.00	PH domain-containing protein
lcl|NC_010612.1_cds_WP_011738418.1_13	MMAR_RS00080	crgA	2.00	1.00	1.00	0.00	1.00	2.00	2.00	2.00	1.00	cell division protein CrgA
lcl|NC_010612.1_cds_WP_012392021.1_14	MMAR_RS00085	MMAR_RS00085	2.00	2.00	0.00	2.00	3.00	1.00	2.00	2.00	1.00	DUF881 domain-containing protein
lcl|NC_010612.1_cds_WP_012392022.1_15	MMAR_RS00090	MMAR_RS00090	3.00	5.00	1.00	3.00	6.00	1.00	3.00	3.00	5.00	aminodeoxychorismate/anthranilate synthase component II
