gene_id	gene_symbol	RFP3D11	RFP3D39	RFP3D47	RFPNG14	RFPNG35	RFPNG45	RFPRPM4	RFPRPM41	RFPRPM6	protein
MMAR_RS00010	dnaA	10.5006	9.2952	8.4952	8.4849	6.4540	8.3457	9.7733	9.7733	10.5313	chromosomal replication initiator protein DnaA
MMAR_RS00015	dnaN	7.9552	9.0546	8.9536	7.7102	6.9348	6.7695	9.4688	9.4688	9.2916	DNA polymerase III subunit beta
MMAR_RS00020	recF	7.4721	7.1874	0.0000	5.9199	0.0000	0.0000	5.4136	5.4136	8.1568	DNA replication/repair protein RecF
MMAR_RS00025	MMAR_RS00025	6.1623	6.6074	6.5072	0.0000	5.7280	5.7827	5.4136	5.4136	7.4232	DUF721 family protein
MMAR_RS00030	gyrB	9.7875	10.2941	10.3992	9.5982	8.9764	10.1498	10.4248	10.4248	9.9188	DNA topoisomerase (ATP-hydrolyzing) subunit B
MMAR_RS00035	gyrA	7.4721	8.4041	9.4932	6.9080	8.3679	8.3457	9.6291	9.6291	8.8330	DNA gyrase subunit A
MMAR_RS00040	MMAR_RS00040	5.1823	7.1874	7.4992	4.9436	5.1566	5.7827	6.3965	6.3965	5.8550	DUF3566 domain-containing protein
MMAR_RS00055	MMAR_RS00055	0.0000	6.6074	0.0000	4.9436	4.1965	0.0000	0.0000	0.0000	0.0000	SAM-dependent methyltransferase
MMAR_RS00060	MMAR_RS00060	0.0000	5.6221	5.5229	4.9436	0.0000	0.0000	5.4136	5.4136	0.0000	MerR family transcriptional regulator
MMAR_RS00065	cwsA	0.0000	5.6221	5.5229	0.0000	4.1965	0.0000	5.4136	5.4136	0.0000	cell wall synthesis protein CwsA
MMAR_RS00070	MMAR_RS00070	7.4721	9.0546	8.6647	7.2275	7.1259	6.7695	8.7047	8.7047	9.2916	peptidylprolyl isomerase
MMAR_RS00075	MMAR_RS00075	5.1823	5.6221	5.5229	6.4969	6.4540	0.0000	0.0000	0.0000	6.8425	PH domain-containing protein
MMAR_RS00080	crgA	6.1623	5.6221	5.5229	0.0000	4.1965	6.7695	6.3965	6.3965	5.8550	cell division protein CrgA
