gene_id	gene_symbol	module	goslim_name	k_total	k_within	protein
MMAR_RS17755	MMAR_RS17755	MEturquoise	Cell Surface & Biofilm Organization	28.888	28.089	nitroreductase/quinone reductase family protein
MMAR_RS25675	MMAR_RS25675	MEbrown	Transmembrane Transport & Secretion	6.676	3.363	WXG100 family type VII secretion target
MMAR_RS18655	MMAR_RS18655	MEturquoise	Cell Surface & Biofilm Organization	27.581	22.845	MmpS family transport accessory protein
MMAR_RS23210	MMAR_RS23210	MEturquoise	Cell Surface & Biofilm Organization	26.004	25.363	TetR/AcrR family transcriptional regulator
MMAR_RS03605	MMAR_RS03605	MEturquoise	Cell Surface & Biofilm Organization	34.74	33.104	membrane protein
MMAR_RS24880	MMAR_RS24880	MEturquoise	Cell Surface & Biofilm Organization	26.749	21.866	hypothetical protein
MMAR_RS20590	MMAR_RS20590	MEturquoise	Cell Surface & Biofilm Organization	13.725	6.984	haloalkane dehalogenase
MMAR_RS12780	MMAR_RS12780	MEturquoise	Cell Surface & Biofilm Organization	29.525	24.54	Rv0792c family HTH-type transcriptional regulator
MMAR_RS22315	MMAR_RS22315	MEbrown	Transmembrane Transport & Secretion	17.285	4.334	WXG100 family type VII secretion target
MMAR_RS05360	MMAR_RS05360	MEturquoise	Cell Surface & Biofilm Organization	25.152	16.86	LLM class F420-dependent oxidoreductase
MMAR_RS23870	MMAR_RS23870	MEturquoise	Cell Surface & Biofilm Organization	30.617	25.737	cytochrome P450
MMAR_RS01955	MMAR_RS01955	MEturquoise	Cell Surface & Biofilm Organization	36.006	34.251	hypothetical protein
MMAR_RS08555	leuD	MEyellow	Response to Stress & Redox Homeostasis	14.199	3.722	3-isopropylmalate dehydratase small subunit
MMAR_RS02665	eccB	MEturquoise	Cell Surface & Biofilm Organization	14.824	7.836	type VII secretion protein EccB
MMAR_RS25200	kstD	MEturquoise	Cell Surface & Biofilm Organization	24.505	18.622	3-oxosteroid 1-dehydrogenase
