gene_id	gene_symbol	description	category	log2FoldChange	pvalue	padj	significant
MMAR_RS00575	MMAR_RS00575	hypothetical protein	General	5.4424	1.0000e-15	7.0914e-14	YES
MMAR_RS00990	espB	EspB family ESX-1 secretion system-associated protein	General	-6.0074	1.0000e-15	7.0914e-14	YES
MMAR_RS01135	MMAR_RS01135	DUF8832 domain-containing protein	General	-1.9944	1.0000e-15	7.0914e-14	YES
MMAR_RS01150	MMAR_RS01150	pyridoxamine 5'-phosphate oxidase family protein	General	-5.8121	1.0000e-15	7.0914e-14	YES
MMAR_RS27990	MMAR_RS27990	Zn-dependent alcohol dehydrogenase	General	-5.2943	1.0000e-15	7.0914e-14	YES
MMAR_RS01240	MMAR_RS01240	SRPBCC family protein	General	-5.4848	1.0000e-15	7.0914e-14	YES
MMAR_RS01430	rpmG	50S ribosomal protein L33	General	-7.3086	1.0000e-15	7.0914e-14	YES
MMAR_RS01570	MMAR_RS01570	FadD7 family fatty acid--CoA ligase	General	-5.2943	1.0000e-15	7.0914e-14	YES
MMAR_RS02020	MMAR_RS02020	MlaE family ABC transporter permease	General	3.0513	1.0000e-15	7.0914e-14	YES
MMAR_RS03690	MMAR_RS03690	glutamate--cysteine ligase	General	2.4990	1.0000e-15	7.0914e-14	YES
MMAR_RS04050	MMAR_RS04050	tocopherol cyclase family protein	General	-7.6049	1.0000e-15	7.0914e-14	YES
MMAR_RS04125	MMAR_RS04125	FAD binding domain-containing protein	General	5.7691	1.0000e-15	7.0914e-14	YES
MMAR_RS04845	MMAR_RS04845	amidase	General	5.7691	1.0000e-15	7.0914e-14	YES
MMAR_RS05395	truA	tRNA pseudouridine(38-40) synthase TruA	General	1.8588	1.0000e-15	7.0914e-14	YES
MMAR_RS05400	MMAR_RS05400	amino acid permease	General	2.0119	1.0000e-15	7.0914e-14	YES
MMAR_RS05960	MMAR_RS05960	cytidine deaminase	General	5.4424	1.0000e-15	7.0914e-14	YES
MMAR_RS06010	MMAR_RS06010	alpha/beta fold hydrolase	General	-5.6197	1.0000e-15	7.0914e-14	YES
MMAR_RS06635	MMAR_RS06635	hypothetical protein	General	6.2903	1.0000e-15	7.0914e-14	YES
MMAR_RS06790	MMAR_RS06790	TIGR03617 family F420-dependent LLM class oxidoreductase	General	5.9637	1.0000e-15	7.0914e-14	YES
MMAR_RS07315	nuoD	NADH dehydrogenase (quinone) subunit D	General	2.5141	1.0000e-15	7.0914e-14	YES
MMAR_RS07795	MMAR_RS07795	SRPBCC family protein	General	5.4424	1.0000e-15	7.0914e-14	YES
MMAR_RS30950	MMAR_RS30950	PE family protein	General	5.7705	1.0000e-15	7.0914e-14	YES
MMAR_RS08420	gatC	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	General	5.4424	1.0000e-15	7.0914e-14	YES
MMAR_RS09245	MMAR_RS09245	DUF5947 family protein	General	6.0975	1.0000e-15	7.0914e-14	YES
MMAR_RS09425	MMAR_RS09425	enoyl-CoA hydratase	General	-5.6197	1.0000e-15	7.0914e-14	YES
MMAR_RS09440	MMAR_RS09440	DUF2277 family protein	General	-5.6232	1.0000e-15	7.0914e-14	YES
MMAR_RS10350	MMAR_RS10350	helix-turn-helix transcriptional regulator	General	-7.4744	1.0000e-15	7.0914e-14	YES
MMAR_RS11400	fabG1	3-oxoacyl-ACP reductase FabG1	General	2.1599	1.0000e-15	7.0914e-14	YES
MMAR_RS11500	MMAR_RS11500	GtrA family protein	General	6.0975	1.0000e-15	7.0914e-14	YES
MMAR_RS11530	MMAR_RS11530	phytanoyl-CoA dioxygenase family protein	General	6.9488	1.0000e-15	7.0914e-14	YES
MMAR_RS11670	MMAR_RS11670	MMPL family RND transporter	General	2.5875	1.0000e-15	7.0914e-14	YES
MMAR_RS11690	MMAR_RS11690	nitronate monooxygenase	General	5.4424	1.0000e-15	7.0914e-14	YES
MMAR_RS12130	rpsA	30S ribosomal protein S1	General	1.2766	1.0000e-15	7.0914e-14	YES
MMAR_RS12410	MMAR_RS12410	ABC transporter ATP-binding protein	General	-5.6208	1.0000e-15	7.0914e-14	YES
MMAR_RS12520	MMAR_RS12520	SCO3242 family prenyltransferase	General	-6.0025	1.0000e-15	7.0914e-14	YES
MMAR_RS13445	MMAR_RS13445	acetolactate synthase	General	5.7709	1.0000e-15	7.0914e-14	YES
MMAR_RS14285	MMAR_RS14285	3,4-dihydroxy-2-butanone-4-phosphate synthase	General	5.4424	1.0000e-15	7.0914e-14	YES
MMAR_RS14390	MMAR_RS14390	Rv1363c family protein	General	5.4424	1.0000e-15	7.0914e-14	YES
MMAR_RS15245	MMAR_RS15245	decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase	General	5.4424	1.0000e-15	7.0914e-14	YES
MMAR_RS16270	MMAR_RS16270	ABC transporter permease	General	-4.9743	1.0000e-15	7.0914e-14	YES
MMAR_RS31185	MMAR_RS31185	hypothetical protein	General	5.4424	1.0000e-15	7.0914e-14	YES
MMAR_RS16530	MMAR_RS16530	IS1380-like element ISMyma7 family transposase	General	6.7981	1.0000e-15	7.0914e-14	YES
MMAR_RS16540	MMAR_RS16540	IS1380-like element ISMyma7 family transposase	General	-1.5140	1.0000e-15	7.0914e-14	YES
MMAR_RS16960	MMAR_RS16960	serine hydrolase domain-containing protein	General	5.4424	1.0000e-15	7.0914e-14	YES
MMAR_RS17610	MMAR_RS17610	class I SAM-dependent methyltransferase	General	-6.0522	1.0000e-15	7.0914e-14	YES
MMAR_RS17985	MMAR_RS17985	cation-translocating P-type ATPase	General	5.7709	1.0000e-15	7.0914e-14	YES
MMAR_RS18200	MMAR_RS18200	WXG100 family type VII secretion target	General	2.7933	1.0000e-15	7.0914e-14	YES
MMAR_RS18540	MMAR_RS18540	FAD-dependent oxidoreductase	General	5.7705	1.0000e-15	7.0914e-14	YES
MMAR_RS19840	MMAR_RS19840	MDR family MFS transporter	General	-5.6208	1.0000e-15	7.0914e-14	YES
MMAR_RS19980	MMAR_RS19980	Zn-dependent alcohol dehydrogenase	General	5.7691	1.0000e-15	7.0914e-14	YES
MMAR_RS20135	MMAR_RS20135	GntR family transcriptional regulator	General	-6.0522	1.0000e-15	7.0914e-14	YES
MMAR_RS20195	rdgB	RdgB/HAM1 family non-canonical purine NTP pyrophosphatase	General	1.4386	1.0000e-15	7.0914e-14	YES
MMAR_RS20410	MMAR_RS20410	methylated-DNA--[protein	General	6.8116	1.0000e-15	7.0914e-14	YES
MMAR_RS20495	MMAR_RS20495	L-threonylcarbamoyladenylate synthase	General	-4.9743	1.0000e-15	7.0914e-14	YES
MMAR_RS21090	MMAR_RS21090	lytic transglycosylase domain-containing protein	General	2.6868	1.0000e-15	7.0914e-14	YES
MMAR_RS21690	MMAR_RS21690	WS/DGAT domain-containing protein	General	5.4424	1.0000e-15	7.0914e-14	YES
MMAR_RS21710	MMAR_RS21710	VOC family protein	General	-5.9487	1.0000e-15	7.0914e-14	YES
MMAR_RS29865	MMAR_RS29865	hypothetical protein	General	-4.9743	1.0000e-15	7.0914e-14	YES
MMAR_RS21750	MMAR_RS21750	glycoside hydrolase	General	-2.4753	1.0000e-15	7.0914e-14	YES
MMAR_RS22010	MMAR_RS22010	PE family protein	General	-4.9743	1.0000e-15	7.0914e-14	YES
MMAR_RS22190	MMAR_RS22190	iron-containing redox enzyme family protein	General	5.4424	1.0000e-15	7.0914e-14	YES
MMAR_RS22220	MMAR_RS22220	hypothetical protein	General	7.2488	1.0000e-15	7.0914e-14	YES
MMAR_RS24640	adhP	alcohol dehydrogenase AdhP	General	6.9491	1.0000e-15	7.0914e-14	YES
MMAR_RS25075	MMAR_RS25075	PE family protein	General	5.4424	1.0000e-15	7.0914e-14	YES
MMAR_RS25410	MMAR_RS25410	ferredoxin--NADP reductase	General	-6.6611	1.0000e-15	7.0914e-14	YES
MMAR_RS25975	MMAR_RS25975	DUF4193 domain-containing protein	General	5.4424	1.0000e-15	7.0914e-14	YES
MMAR_RS26515	MMAR_RS26515	M1 family metallopeptidase	General	6.2900	1.0000e-15	7.0914e-14	YES
MMAR_RS26965	MMAR_RS26965	phosphatase PAP2 family protein	General	5.9637	1.0000e-15	7.0914e-14	YES
MMAR_RS29930	MMAR_RS29930	hypothetical protein	General	6.5341	1.0000e-15	7.0914e-14	YES
MMAR_RS27160	MMAR_RS27160	hypothetical protein	General	-5.2943	1.0000e-15	7.0914e-14	YES
MMAR_RS19040	pepN	aminopeptidase N	General	1.2352	1.5591e-15	1.0901e-13	YES
MMAR_RS03585	MMAR_RS03585	neutral zinc metallopeptidase	General	1.4400	5.2406e-15	3.6131e-13	YES
MMAR_RS14915	mhpA	bifunctional 3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase MhpA	General	-6.0574	5.9498e-15	4.0459e-13	YES
MMAR_RS18960	MMAR_RS18960	2-oxoacid:ferredoxin oxidoreductase subunit beta	General	-1.2212	1.0884e-14	7.3010e-13	YES
MMAR_RS18665	MMAR_RS18665	DegV family protein	General	6.1017	1.8294e-14	1.2108e-12	YES
MMAR_RS05580	MMAR_RS05580	PPE family protein	General	1.9343	4.5125e-14	2.9474e-12	YES
MMAR_RS12305	argF	ornithine carbamoyltransferase	General	6.8172	1.0721e-13	6.9118e-12	YES
MMAR_RS19100	MMAR_RS19100	NAD-glutamate dehydrogenase	General	1.7089	2.1378e-13	1.3605e-11	YES
MMAR_RS13785	MMAR_RS13785	amidase	General	1.8114	3.8940e-13	2.4468e-11	YES
MMAR_RS14010	MMAR_RS14010	phytoene desaturase family protein	General	-1.1090	1.3282e-12	8.2412e-11	YES
MMAR_RS19810	MMAR_RS19810	SRPBCC family protein	General	-6.3867	3.3597e-12	2.0589e-10	YES
MMAR_RS07975	MMAR_RS07975	TetR/AcrR family transcriptional regulator	General	-5.3032	4.4725e-11	2.6120e-09	YES
MMAR_RS31175	MMAR_RS31175	hypothetical protein	General	-5.3032	4.4725e-11	2.6120e-09	YES
MMAR_RS17600	MMAR_RS17600	DUF6636 domain-containing protein	General	-5.3032	4.4725e-11	2.6120e-09	YES
MMAR_RS21440	mshB	N-acetyl-1-D-myo-inositol-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase	General	-5.3032	4.4725e-11	2.6120e-09	YES
MMAR_RS10950	carB	carbamoyl-phosphate synthase large subunit	General	1.7733	5.2540e-11	3.0327e-09	YES
MMAR_RS11660	pks2	sulfolipid-1 biosynthesis phthioceranic/hydroxyphthioceranic acid synthase	General	2.6381	7.8136e-11	4.4583e-09	YES
MMAR_RS18040	rocD	ornithine--oxo-acid transaminase	General	-2.5022	1.5978e-10	9.0132e-09	YES
MMAR_RS06880	MMAR_RS06880	alpha/beta fold hydrolase	General	1.8962	1.6467e-10	9.1843e-09	YES
MMAR_RS05300	map	type I methionyl aminopeptidase	General	1.9853	3.2171e-10	1.7744e-08	YES
MMAR_RS18180	MMAR_RS18180	hypothetical protein	General	1.8478	3.4443e-10	1.8788e-08	YES
MMAR_RS16225	MMAR_RS16225	MFS transporter	General	2.0517	4.4705e-10	2.4121e-08	YES
MMAR_RS22155	MMAR_RS22155	AraC-like ligand-binding domain-containing protein	General	-5.8222	9.8081e-10	5.2352e-08	YES
MMAR_RS04815	mmaA3	methoxy mycolic acid synthase MmaA3	General	1.4990	2.5146e-09	1.3279e-07	YES
